#SRC_ROW_ID,SRC_SYSTEM,LAST_UPDATE_DATE,HOSPITAL_NAME,CUSTOMER_TYPE_CD
W-597,SRC_3,04/22/2026 10:40:28,Prime Hospital,Hospital
W-598,SRC_3,04/22/2026 10:40:28,Wellness Hospital,Hospital
W-599,SRC_3,04/22/2026 10:40:28,Prime Hospital,Hospital
W-600,SRC_3,04/22/2026 10:40:28,Summit Hospital,Hospital
W-601,SRC_3,04/22/2026 10:40:28,Health Hospital,Hospital
W-602,SRC_3,04/22/2026 10:40:28,Family Hospital,Hospital
W-603,SRC_3,04/22/2026 10:40:28,Health Hospital,Hospital
W-604,SRC_3,04/22/2026 10:40:28,Family Hospital,Hospital
W-605,SRC_3,04/22/2026 10:40:28,Valley Hospital,Hospital
W-606,SRC_3,04/22/2026 10:40:28,City Hospital,Hospital
W-607,SRC_3,04/22/2026 10:40:28,Health Hospital,Hospital
W-608,SRC_3,04/22/2026 10:40:28,Medical Hospital,Hospital
W-609,SRC_3,04/22/2026 10:40:28,Wellness Hospital,Hospital
W-610,SRC_3,04/22/2026 10:40:28,General Hospital,Hospital
W-611,SRC_3,04/22/2026 10:40:28,Valley Hospital,Hospital
W-612,SRC_3,04/22/2026 10:40:28,General Hospital,Hospital
W-613,SRC_3,04/22/2026 10:40:28,Prime Hospital,Hospital
W-614,SRC_3,04/22/2026 10:40:28,Care Hospital,Hospital
W-615,SRC_3,04/22/2026 10:40:28,Prime Hospital,Hospital
W-616,SRC_3,04/22/2026 10:40:28,Prime Hospital,Hospital
W-617,SRC_3,04/22/2026 10:40:28,Valley Hospital,Hospital
W-618,SRC_3,04/22/2026 10:40:28,Wellness Hospital,Hospital
W-619,SRC_3,04/22/2026 10:40:28,General Hospital,Hospital
W-620,SRC_3,04/22/2026 10:40:28,Summit Hospital,Hospital
W-621,SRC_3,04/22/2026 10:40:28,Wellness Hospital,Hospital
W-622,SRC_3,04/22/2026 10:40:28,City Hospital,Hospital
W-623,SRC_3,04/22/2026 10:40:28,Prime Hospital,Hospital
W-624,SRC_3,04/22/2026 10:40:28,City Hospital,Hospital
W-625,SRC_3,04/22/2026 10:40:28,General Hospital,Hospital
W-626,SRC_3,04/22/2026 10:40:28,General Hospital,Hospital
W-627,SRC_3,04/22/2026 10:40:28,Summit Hospital,Hospital
W-628,SRC_3,04/22/2026 10:40:28,Prime Hospital,Hospital
W-629,SRC_3,04/22/2026 10:40:28,Wellness Hospital,Hospital
W-630,SRC_3,04/22/2026 10:40:28,Health Hospital,Hospital
W-631,SRC_3,04/22/2026 10:40:28,General Hospital,Hospital
W-632,SRC_3,04/22/2026 10:40:28,Health Hospital,Hospital
W-633,SRC_3,04/22/2026 10:40:28,Valley Hospital,Hospital
W-634,SRC_3,04/22/2026 10:40:28,Prime Hospital,Hospital
W-635,SRC_3,04/22/2026 10:40:28,Summit Hospital,Hospital
W-636,SRC_3,04/22/2026 10:40:28,Wellness Hospital,Hospital
W-637,SRC_3,04/22/2026 10:40:28,Health Hospital,Hospital
W-638,SRC_3,04/22/2026 10:40:28,General Hospital,Hospital
W-639,SRC_3,04/22/2026 10:40:28,Health Hospital,Hospital
W-640,SRC_3,04/22/2026 10:40:28,Health Hospital,Hospital
W-641,SRC_3,04/22/2026 10:40:28,General Hospital,Hospital
W-642,SRC_3,04/22/2026 10:40:28,Care Hospital,Hospital
W-643,SRC_3,04/22/2026 10:40:28,Wellness Hospital,Hospital
W-644,SRC_3,04/22/2026 10:40:28,Family Hospital,Hospital
W-645,SRC_3,04/22/2026 10:40:28,General Hospital,Hospital
W-646,SRC_3,04/22/2026 10:40:28,Care Hospital,Hospital
W-647,SRC_3,04/22/2026 10:40:28,Family Hospital,Hospital
W-648,SRC_3,04/22/2026 10:40:28,Summit Hospital,Hospital
W-649,SRC_3,04/22/2026 10:40:28,Wellness Hospital,Hospital
W-650,SRC_3,04/22/2026 10:40:28,Wellness Hospital,Hospital
W-651,SRC_3,04/22/2026 10:40:28,Family Hospital,Hospital
W-652,SRC_3,04/22/2026 10:40:28,Family Hospital,Hospital
W-653,SRC_3,04/22/2026 10:40:28,General Hospital,Hospital
W-654,SRC_3,04/22/2026 10:40:28,General Hospital,Hospital
