SRC_3_ID,HOSP_NAME,ADDR_LINE_1,ADDR_LINE_2,CITY,STATE,ZIPCODE,STATE_LIC
W-613,Prime Hospital,3721 Washington Blvd,,New York,IL,82970,IL-720407
W-614,Care Hospital,7099 Hill Ct,,Philadelphia,FL,94320,FL-803953
W-615,Prime Hospital,5322 Washington Blvd,,Phoenix,TX,59343,TX-292811
W-616,Prime Hospital,7858 Maple Ave,Bldg B,Chicago,WA,70689,WA-160423
W-617,Valley Hospital,6924 Hill Ct,Bldg B,Houston,TX,43422,TX-313214
W-618,Wellness Hospital,7469 Elm St,,Houston,PA,16755,PA-381502
W-619,General Hospital,9978 Main St,Bldg A,San Jose,TX,98008,TX-685997
W-620,Summit Hospital,3522 Elm St,,New York,TX,37762,TX-299254
W-621,Wellness Hospital,7946 Maple Ave,Bldg C,Houston,FL,61987,FL-350956
W-622,City Hospital,4737 Washington Blvd,,Philadelphia,TX,50425,TX-374267
W-623,Prime Hospital,8247 Lake Rd,,San Diego,PA,51973,PA-312994
W-624,City Hospital,6881 Main St,Bldg A,Chicago,PA,12125,PA-373441
W-625,General Hospital,9588 Washington Blvd,,Houston,TX,53236,TX-341192
W-626,General Hospital,4126 Lake Rd,Bldg C,Philadelphia,TX,43728,TX-900441
W-627,Summit Hospital,8137 Lake Rd,,Philadelphia,MI,32185,MI-246757
W-628,Prime Hospital,8100 Pine St,Bldg C,New York,FL,78674,FL-135466
W-629,Wellness Hospital,894 Main St,,Houston,MI,18908,MI-841521
W-630,Health Hospital,3683 Hill Ct,,New York,IL,90980,IL-768706
W-631,General Hospital,8016 Lake Rd,,Dallas,OH,82305,OH-531319
W-632,Health Hospital,8773 Cedar Ln,Bldg B,New York,NY,75826,NY-952657
W-633,Valley Hospital,3037 Oak St,Bldg C,Chicago,FL,41584,FL-301255
W-634,Prime Hospital,4235 Elm St,,San Antonio,CA,20357,CA-491172
W-635,Summit Hospital,9356 Maple Ave,Bldg A,Phoenix,TX,99658,TX-968286
W-636,Wellness Hospital,619 Oak St,,San Antonio,MI,82443,MI-599127
W-637,Health Hospital,2907 Oak St,,San Antonio,NY,94529,NY-922478
W-638,General Hospital,1662 Hill Ct,Bldg A,Houston,PA,84289,PA-598598
W-639,Health Hospital,1318 Cedar Ln,Bldg C,New York,AZ,33508,AZ-991737
W-640,Health Hospital,3494 Park Ave,,San Antonio,PA,20084,PA-413814
W-641,General Hospital,4039 Park Ave,Bldg B,Dallas,IL,53480,IL-502491
W-642,Care Hospital,1384 Hill Ct,Bldg B,New York,WA,22803,WA-558320
W-643,Wellness Hospital,5680 Park Ave,Bldg C,San Antonio,TX,52778,TX-131064
W-644,Family Hospital,7481 Lake Rd,,Dallas,OH,59207,OH-552825
W-645,General Hospital,6327 Oak St,Bldg B,Houston,IL,19634,IL-186023
W-646,Care Hospital,6325 Pine St,Bldg B,Philadelphia,AZ,23965,AZ-195966
W-647,Family Hospital,7386 Elm St,Bldg A,Chicago,NY,21442,NY-296494
W-648,Summit Hospital,9225 Hill Ct,Bldg A,New York,TX,21746,TX-471106
W-649,Wellness Hospital,9880 Park Ave,Bldg B,New York,TX,48253,TX-533911
W-650,Wellness Hospital,9267 Maple Ave,Bldg A,San Antonio,TX,32216,TX-245584
W-651,Family Hospital,4497 Lake Rd,,Chicago,AZ,66973,AZ-389366
W-652,Family Hospital,8033 Oak St,,Houston,TX,91924,TX-619886
W-653,General Hospital,3303 Lake Rd,,Phoenix,CA,10887,CA-514913
W-654,General Hospital,6324 Elm St,,San Antonio,PA,95332,PA-723266
